Name,Type,Year,Task Solved,Directness,Input Assumptions,Output Formalism,Machine-Checkable?,Method Family,Evaluation Style,Faithfulness Check,Open-Source?,Artifact Status,License,Strengths,Limitations,Potential Reuse,Confidence
Specula,tool,2025,code→TLA+,direct,Source code (Go/Rust),TLA+ specs,Yes (trace validation),LLM + CFA + trace,Trace conformance on 2 systems,Trace validation,Yes,Working tool,Open,First code→TLA+ tool; trace validation,Code input only not NL,Code→TLA+ component,High
SysMoBench,benchmark,2025,TLA+ modeling eval,direct,System artifacts,TLA+ (evaluated),Yes (automated metrics),Benchmark,Syntax/runtime/conformance/invariant,Automated metrics,Yes,Public benchmark,Open,Automated TLA+ evaluation; real systems,Evaluates doesn't generate,Evaluation metrics,High
TLAiBench,benchmark,2025,LLM TLA+ eval,direct,Task descriptions,TLA+ (expected),Yes,Benchmark,Standardized,Varied,Yes,Public repo,Open,TLA+-specific AI benchmark,Benchmark only,Evaluation benchmark,High
TLA+ Proof Automation,paper,2024,TLA+ proofs,direct,TLA+ claims,TLA+ proofs,Yes,LLM recursive decomposition,Decomposition verified,Each step verified,Partial,arXiv paper,Unknown,Demonstrates LLM TLA+ understanding,Proofs not specs,TLA+ LLM capability evidence,Med
SYNTHTL,paper,2024,NL→LTL/CTL,adjacent,Natural language,LTL/CTL formulas,Yes (model checker),LLM + model checker + oracle,Model checker validation,Model checker + oracle,Partial,FMCAD paper,Unknown,Decomposition + model checker loop,Oracle needed; LTL not TLA+,Architecture pattern,High
Req2LTL/OnionL,paper,2025,NL→LTL,adjacent,NL requirements,LTL formulas,Yes (100% syntactic),LLM + OnionL IR + rules,88.4% semantic accuracy,Rule-based synthesis,Partial,arXiv paper,Unknown,Hierarchical IR; near-perfect syntax,LTL simpler than TLA+,IR design pattern,High
AutoSpec,paper,2025,NL RFC→protocol spec,adjacent,RFC text (NL),I/O grammars,Yes (fuzzer tested),Two-stage LLM,92.8% msg type recovery,Traceability preserved,Partial,arXiv paper,Unknown,NL→spec pipeline; traceability,I/O grammars not TLA+,Two-stage pipeline,High
SpecGen,paper,2025,Program spec generation,adjacent,Programs,Pre/postconditions,Yes (verifier),LLM + verifier loop + mutation,279/385 verified,Verifier feedback loop,Yes,ICSE paper,Unknown,Verifier-in-the-loop; outperforms classical,Function-level not system-level,Verifier loop pattern,High
nl2spec,paper,2023,NL→temporal logic,adjacent,Unstructured NL,Temporal logic,Partial,LLM subformula decomposition,36 expert benchmarks,Subformula traceability,Partial,CAV paper,Unknown,Traceability methodology; expert benchmark,Small benchmark; interactive,Traceability method,Med
NL2LTL,tool,2023,NL→LTL,adjacent,NL instructions,LTL formulas,Yes,NLU + LLM,AAAI demo,Automated,Yes,Python package,Open,Open-source; mature package,Robot domain narrow,Package architecture,Med
LLM Alloy Generation,paper,2025,NL→Alloy,adjacent,NL descriptions,Alloy formulas,Yes (Alloy checker),Direct LLM,Multiple solutions,Alloy checker,Partial,arXiv paper,Unknown,Shows LLM can handle formal DSLs,Alloy simpler than TLA+,DSL generation evidence,Med
LLM Alloy Repair,paper,2024,Alloy spec repair,adjacent,Defective Alloy specs,Repaired specs,Yes (Alloy checker),Dual-agent + auto-prompt,106K attempts on 1974 models,Alloy checker,Yes,arXiv + Springer,Unknown,Best repair architecture found,Alloy-specific,Dual-agent repair pattern,High
GCD for Logical Parsing,paper,2025,Grammar-constrained LLM,adjacent,Prompts,Logical formulas,Yes (grammar),Constrained decoding,Syntax+semantic accuracy,Grammar enforcement,Partial,ACL paper,Unknown,Syntax guarantee; semantic improvement,Grammar-level only,GCD for TLA+ syntax,Med
DafnyBench,benchmark,2024,Dafny verification,far-adjacent,Dafny programs,Annotations,Yes (Dafny verifier),Benchmark,68%→96% over 1 year,Dafny verifier,Yes,Public benchmark,Open,Rapid LLM improvement evidence,Dafny not TLA+,Benchmark methodology,Med
Symboleo NL→spec,paper,2024,NL→Symboleo,adjacent,Legal contract text,Symboleo specs,Partial (49% syntax),LLM + grammar guidance,38 prompt combos,Manual review,Partial,arXiv paper,Unknown,NL→DSL feasibility evidence,49% grammar adherence,DSL challenges evidence,Med
4/delta Bound,paper,2025,LLM-verifier theory,far-adjacent,Theoretical,Convergence guarantees,N/A,Mathematical framework,Formal proofs,N/A,Partial,arXiv paper,Unknown,First convergence guarantees,Theory only,Architecture design basis,Med
